rowid,ID,Country,Type,Date,Year,Title,Outcome
176,Switzerland Proactive,Switzerland,Proactive,1997-04-02,1997,tie health insurance fee to income and wealth,FailedPostSignature
178,Switzerland Proactive,Switzerland,Proactive,1996-03-27,1996,"make banks publicize hidden reserves, allow companies to use them for long term investments",FailedPostSignature
179,Switzerland Proactive,Switzerland,Proactive,1995-11-02,1995,reduce extent of state competencies,FailedPostSignature
180,Switzerland Proactive,Switzerland,Proactive,1995-08-21,1995,Limit immigration,FailedPostSignature
181,Switzerland Proactive,Switzerland,Proactive,1995-06-21,1995,changes to VAT for the benefit of consumers/private customers,FailedPostSignature
182,Switzerland Proactive,Switzerland,Proactive,1995-05-08,1995,promote military use of carrier pigeons,FailedPostSignature
185,Switzerland Proactive,Switzerland,Proactive,1995-01-09,1995,prohibit the state from creating more debt for four years,FailedPostSignature
186,Switzerland Proactive,Switzerland,Proactive,1993-04-21,1993,abolish no-military-service costs,FailedPostSignature
188,Switzerland Proactive,Switzerland,Proactive,1992-10-09,1992,legalize swiss cannabis,FailedPostSignature
189,Switzerland Proactive,Switzerland,Proactive,1992-07-21,1992,promote competition in media landscape,FailedPostSignature
191,Switzerland Proactive,Switzerland,Proactive,1991-08-08,1991,consolidate scholarship rules,FailedPostSignature
192,Switzerland Proactive,Switzerland,Proactive,1991-08-05,1991,more options for speedlimits outside of towns,FailedPostSignature
193,Switzerland Proactive,Switzerland,Proactive,1991-08-05,1991,higher speedlimits on highways (of 130 km/h instead of 120 km/h),FailedPostSignature
194,Switzerland Proactive,Switzerland,Proactive,1991-05-01,1991,"reduce military budget, finance peace promoting activities",PostInadmissible
195,Switzerland Proactive,Switzerland,Proactive,1991-04-09,1991,rules for last name changes after marriage,FailedPostSignature
196,Switzerland Proactive,Switzerland,Proactive,1990-12-06,1990,equal amount of seats in national council for men and women,FailedPostSignature
197,Switzerland Proactive,Switzerland,Proactive,1990-12-21,1990,stricter asylum laws,PostInadmissible
198,Switzerland Proactive,Switzerland,Proactive,1990-10-01,1990,more swiss participation for europe,FailedPostSignature
199,Switzerland Proactive,Switzerland,Proactive,1990-08-16,1990,official state departements of more than 5 members need to have an equal amount of men and women,FailedPostSignature
200,Switzerland Proactive,Switzerland,Proactive,1990-08-16,1990,equal standing of men and women in regards to social security,FailedPostSignature
201,Switzerland Proactive,Switzerland,Proactive,1990-07-17,1990,civil service instead of military service,FailedPostSignature
202,Switzerland Proactive,Switzerland,Proactive,1990-03-02,1990,adjust social security payouts to inflation,FailedPostSignature
203,Switzerland Proactive,Switzerland,Proactive,1990-01-17,1990,Limit immigration,FailedPostSignature
204,Switzerland Proactive,Switzerland,Proactive,1990-01-04,1990,abolish national tax,FailedPostSignature
205,Switzerland Rejective,Switzerland,Rejective,2017-04-07,2017,"Prevention of: Amendmenst of the Federal Act on Foreign Nationals, control of immigration and improvements in the enforcement of agreements on the free movement of persons",AllAdmissible_FailedPostSignature
206,Switzerland Rejective,Switzerland,Rejective,2016-07-07,2016,Prevention of: Amendments on army law,AllAdmissible_FailedPostSignature
207,Switzerland Rejective,Switzerland,Rejective,2016-07-07,2016,Prevention of: Amendments to Federal Act on the Surveillance of Postal and Telecommunications Traffic,AllAdmissible_FailedPostSignature
208,Switzerland Rejective,Switzerland,Rejective,2014-01-16,2014,Prevention of: Federal Decree on the Approval of the FATCA Agreement between Switzerland and the United States,AllAdmissible_FailedPostSignature
209,Switzerland Rejective,Switzerland,Rejective,2012-09-27,2012,Prevention of: Federal decree on the approval of the agreement between Switzerland and Austria on cooperation in the areas of taxation and the financial market,AllAdmissible_FailedPostSignature
210,Switzerland Rejective,Switzerland,Rejective,2012-09-27,2012,Prevention of: Federal Decree on the approval of the Agreement between Switzerland and the United Kingdom on cooperation in the field of taxation and the Protocol amending this Agreement,AllAdmissible_FailedPostSignature
211,Switzerland Rejective,Switzerland,Rejective,2012-09-27,2012,Prevention of: Federal decree on the approval of the agreement between Switzerland and Germany on cooperation in the areas of taxation and the financial market and the protocol amending this agreement,AllAdmissible_FailedPostSignature
212,Switzerland Rejective,Switzerland,Rejective,2009-10-01,2009,technical trade obstructions,AllAdmissible_FailedPostSignature
213,Switzerland Rejective,Switzerland,Rejective,2007-10-11,2007,Prevention of: Amendments to the agriculture law,AllAdmissible_FailedPostSignature
214,Switzerland Rejective,Switzerland,Rejective,2002-04-07,2002,Prevention of: promotion of technology use and education in schools,AllAdmissible_FailedPostSignature
215,Switzerland Rejective,Switzerland,Rejective,2000-02-03,2000,Prevention of: Treaty with EU about railnetworks,AllAdmissible_FailedPostSignature
